Titulo,Genero,original_language,Productora,Pais de produccion,Lanzamiento,Presupuesto,Ganancias
Free Willy,Family-Adventure,en,Canal Plus,France,1993,$20000000,$153698625.0
Battlefield Earth,Science Fiction-War,en,Franchise Pictures,United States of America,2000,$44000000,$21400000.0
Species II,Science Fiction-Action-Horror,en,Metro-Goldwyn-Mayer (MGM),United States of America,1998,$35000000,$19165560.0
Pet Sematary II,Horror,en,Paramount Pictures,United States of America,1992,$8000000,$17092453.0
Swimfan,Drama-Thriller,en,Twentieth Century Fox Film Corporation,United States of America,2002,$8500000,$34411240.0
Vibes,Romance-Action-Comedy,en,Imagine Entertainment,Ecuador,1988,$1884000,$1883811.0
Hannah Montana- The Movie,Comedy-Drama-Family-Music-Romance,en,Walt Disney Pictures,United States of America,2009,$35000000,$155545279.0
Incendies,Drama-War-Mystery,fr,TS Productions,Canada,2010,$6800000,$7103838.0
The Black Room,Horror-Thriller,en,none,United States of America,1982,$250000,$2160000.0
Setem,Action-Comedy,en,Tayangan Unggul,Malaysia,2009,$100000,$295117.0
Season of the Witch,Adventure-Fantasy-Action,en,Atlas Entertainment,United States of America,2011,$40000000,$88100000.0
Just Go with It,Romance-Comedy,en,Columbia Pictures,United States of America,2011,$80000000,$214918407.0
The Blind Side,Drama,en,Alcon Entertainment,United States of America,2009,$29000000,$309208309.0
Insomnia,Crime-Mystery-Thriller,en,Section Eight,United States of America,2002,$46000000,$113714830.0
The Ides of March,Drama,en,Appian Way,United States of America,2011,$12500000,$75993061.0
Aftershock,Horror-Thriller,es,Cross Creek Pictures,Chile,2012,$2000000,$58510.0
All The Queen's Men,Action-Comedy-Drama-History,en,none,Austria,2001,$15000000,$23000.0
Last Tango in Paris,Drama-Romance,fr,United Artists,France,1972,$1250000,$36144000.0
Saturday Night Fever,Drama-Music,en,Paramount Pictures,United States of America,1977,$3500000,$237113184.0
The Rum Diary,Drama-Comedy,en,FilmEngine,United States of America,2011,$45000000,$24000000.0
Madagascar,Family-Animation,en,DreamWorks SKG,United States of America,2005,$75000000,$532680671.0
Scanners,Horror-Science Fiction-Thriller,en,Canadian Film Development Corporation (CFDC),Canada,1981,$4100000,$14225876.0
The English Patient,Drama-Romance-War,en,Tiger Moth Productions,United Kingdom,1996,$27000000,$231976425.0
Bad Dreams,Horror-Thriller,en,No Frills Film Production,United States of America,1988,$4000000,$9797098.0
Bounce,Drama-Romance,en,Miramax Films,United States of America,2000,$35000000,$36779296.0
Tootsie,Comedy-Romance,en,Columbia Pictures Corporation,United States of America,1982,$21000000,$177200000.0
The Call,Crime-Thriller,en,TriStar Pictures,United States of America,2013,$13000000,$68572378.0
New York I Love You,Comedy-Drama-Romance,en,Vivendi Entertainment,United States of America,2008,$14700000,$8049666.0
Hesher,Drama,en,DRO Entertainment,United States of America,2010,$7000000,$382946.0
Baptists at Our Barbecue,Romance-Comedy,en,Halestorm entertainment,United States of America,2004,$500000,$173306.0
Mechanic- Resurrection,Action-Crime-Thriller,en,Davis-Films,Thailand,2016,$40000000,$125729635.0
Costa,Romance-Comedy,,BNN TV,Netherlands,2001,$2498210,$4810190.0
White House Down,Action-Drama-Thriller,en,Columbia Pictures,United States of America,2013,$150000000,$205366737.0
Beastmaster 2- Through the Portal of Time,Action-Adventure-Fantasy-Science Fiction,en,Les Films 21,United States of America,1991,$6000000,$869325.0
Ant-Man,Science Fiction-Action-Adventure,en,Marvel Studios,United States of America,2015,$130000000,$518602163.0
Abraham Lincoln- Vampire Hunter,Action-Fantasy-Horror,en,Twentieth Century Fox Film Corporation,United States of America,2012,$69000000,$112265139.0
The Thirteenth Floor,Thriller-Science Fiction-Mystery,en,Columbia Pictures,United States of America,1999,$16000000,$18564088.0
Hard Candy,Drama-Thriller,en,Vulcan Productions Inc.,United States of America,2005,$950000,$7022209.0
Detective Dee and the Mystery of the Phantom Flame,Action-Adventure-Drama-Mystery,zh,Huayi Brothers,Hong Kong,2010,$13000000,$51723285.0
Rangeela,Drama-Romance,hi,Jhamu Sughand Productions,India,1995,$2800000,$14000000.0
About a Boy,Drama-Comedy-Romance,en,Universal Pictures,United Kingdom,2002,$27000000,$129000000.0
The Mask,Romance-Comedy-Crime-Fantasy,en,New Line Cinema,United States of America,1994,$23000000,$351583407.0
Like Dandelion Dust,Drama-Family,en,none,United States of America,2009,$2500000,$352810.0
Grown Ups,Comedy,en,Columbia Pictures,United States of America,2010,$80000000,$271430189.0
The Pyramid,Horror,en,Fox International Productions,United States of America,2014,$6500000,$13865435.0
Code Name- The Cleaner,Action-Comedy-Crime,en,New Line Cinema,United States of America,2007,$20000000,$10337477.0
Return of the Living Dead 3,Comedy-Science Fiction-Romance-Horror,en,Ozla Productions,United States of America,1993,$2000000,$54207.0
Child 44,Crime-Thriller,en,Summit Entertainment,United Kingdom,2015,$50000000,$3324330.0
The Lovely Bones,Fantasy-Drama,en,WingNut Films,United Kingdom,2009,$65000000,$93525586.0
Flash Gordon,Science Fiction,en,Dino De Laurentiis Company,United States of America,1980,$35000000,$27107960.0
Finding Neverland,Drama,en,Miramax Films,United Kingdom,2004,$25000000,$116766556.0
The Crow- City of Angels,Action-Fantasy-Thriller,en,Miramax Films,United States of America,1996,$13000000,$17917287.0
Tom Jones,Adventure-Comedy-History-Romance,en,Woodfall Film Productions,United Kingdom,1963,$1000000,$37600000.0
Table 19,Comedy-Drama,en,21 Laps Entertainment,United States of America,2017,$5000000,$3305592.0
Forrest Gump,Comedy-Drama-Romance,en,Paramount Pictures,United States of America,1994,$55000000,$677945399.0
Hollywood & Wine,Comedy-Thriller,en,Aloe Entertainment,United States of America,2011,$5000000,$8000000.0
Nell,Drama-Thriller,en,Twentieth Century Fox Film Corporation,United States of America,1994,$31000000,$106683817.0
Pere fils therapie ,Comedy,fr,Cinemaginaire Inc.,Canada,2016,$7230000,$1453270.0
Turbo- A Power Rangers Movie,Action-Adventure-Family-Fantasy-Science Fiction-Thriller,en,Twentieth Century Fox Film Corporation,Japan,1997,$10000000,$17979739.0
Fashion Chicks,Comedy,nl,AM Pictures,Netherlands,2015,$450000,$1500000.0
Bulletproof,Action-Thriller,en,Bulletproof Productions,United States of America,1988,$5000000,$807947.0
The Brave One,Crime-Drama-Thriller,en,Village Roadshow Pictures,United States of America,2007,$70000000,$69766619.0
Lost Highway,Drama-Thriller-Mystery,en,Ciby 2000,United States of America,1997,$15000000,$3675201.0
The Wicker Man,Mystery-Thriller-Horror,en,Saturn Films,United States of America,2006,$40000000,$38755073.0
Bridesmaids,Comedy-Romance,en,Universal Pictures,United States of America,2011,$32500000,$288383523.0
Dick,Comedy,en,Columbia Pictures,Canada,1999,$13000000,$27500000.0
Shaft,Adventure-Action-Thriller-Crime,en,Metro-Goldwyn-Mayer (MGM),United States of America,1971,$4000000,$12121618.0
The Conjuring,Horror-Thriller,en,New Line Cinema,United States of America,2013,$13000000,$318000141.0
Who's Afraid of Virginia Woolf-,Drama,en,Chenault Productions,United States of America,1966,$7500000,$33736689.0
The Berlin File,Action-Drama-Thriller,ko,CJ Entertainment,South Korea,2013,$9000000,$48965210.0
Star Trek- First Contact,Science Fiction-Action-Adventure-Thriller,en,Paramount Pictures,United States of America,1996,$46000000,$150000000.0
Obsessed,Drama-Thriller,,Sony Pictures,United States of America,2009,$20000000,$73830340.0
Zabriskie Point,Drama-Romance,en,Metro-Goldwyn-Mayer (MGM),United States of America,1970,$7000000,$1000000.0
Go Go Tales,Comedy-Drama,en,Surreel,Italy,2007,$4000000,$907456.0
Renaissance,Action-Animation-Science Fiction,fr,Onyx Films,France,2006,$18000000,$1831348.0
Mere Brother Ki Dulhan,Drama-Comedy-Romance,hi,Yash Raj Films,India,2011,$5510000,$18050000.0
Pride & Prejudice,Drama-Romance,en,Universal Pictures,France,2005,$28000000,$121147947.0
Sleepy Hollow,Drama-Fantasy-Thriller-Mystery,en,Paramount Pictures,Germany,1999,$100000000,$206071502.0
Batman,Fantasy-Action,en,PolyGram Filmed Entertainment,United Kingdom,1989,$35000000,$411348924.0
Roommates,Drama-Comedy,sv,Hollywood Pictures,United States of America,1995,$22000000,$12400000.0
Starman,Action-Adventure-Romance-Science Fiction,en,Columbia Pictures,United States of America,1984,$22000000,$28744356.0
Dragon Blade,Action-Drama-Adventure,zh,Shanghai Film Group,Hong Kong,2015,$65000000,$121545703.0
The First Wives Club,Comedy,en,Scott Rudin Productions,United States of America,1996,$26000000,$116400000.0
The Lizzie McGuire Movie,Family-Comedy,en,Walt Disney Pictures,United States of America,2003,$17000000,$55534455.0
In My Country,Romance-Drama,en,Chartoff Productions,United Kingdom,2004,$12000000,$163536.0
The Omen,Horror-Thriller,en,Twentieth Century Fox Film Corporation,United Kingdom,1976,$2800000,$60922980.0
Beasts of the Southern Wild,Drama-Fantasy,en,Journeyman Pictures,United States of America,2012,$1800000,$21107746.0
The Rescuers Down Under,Adventure-Animation-Crime-Family-Fantasy,en,Walt Disney Pictures,United States of America,1990,$37931000,$27931461.0
Doctor Dolittle,Adventure-Fantasy-Comedy-Family-Music-Romance,en,Twentieth Century Fox Film Corporation,United States of America,1967,$18000000,$9000000.0
The Killing Fields,War-Drama-History,en,Goldcrest Films International,United Kingdom,1984,$14400000,$34700291.0
Titan A.E.,Animation-Action-Science Fiction-Family-Adventure,en,Twentieth Century Fox Film Corporation,United States of America,2000,$75000000,$36754634.0
PK,Comedy-Drama-Science Fiction,hi,Rajkumar Hirani Films,India,2014,$13000000,$120000000.0
Bangles,Action-Romance-Crime,pa,Pak Nishan Films,Pakistan,1998,$37000,$2000000.0
Italiano medio,Comedy,it,none,Italy,2015,$1816720,$4541800.0
Snake Eyes,Crime-Mystery,en,Paramount Pictures,Canada,1998,$73000000,$103891409.0
Melancholia,Drama-Science Fiction,da,Zentropa Entertainments,Denmark,2011,$7400000,$21817298.0
Short Stack Live at the Sydney Opera House,Documentary-Music,en,Sunday Morning Records,Australia,2011,$20000,$67000.0
The Next Best Thing,Comedy-Drama,en,Paramount Pictures,United States of America,2000,$25000000,$24362772.0
That Awkward Moment,Comedy-Romance,en,Treehouse Pictures,United States of America,2014,$8000000,$26049082.0
Heist,Crime-Action-Thriller,en,Emmett-Furla Films,United States of America,2015,$8900000,$4100000.0
10 Cloverfield Lane,Science Fiction,en,Paramount Pictures,United States of America,2016,$15000000,$108286421.0
Saw III,Horror-Thriller-Crime,,Lions Gate Films,United States of America,2006,$10000000,$163876815.0
Flicka,Drama,en,Twentieth Century Fox Film Corporation,United Kingdom,2006,$15000000,$21000000.0
Planet of the Apes,Thriller-Science Fiction-Action-Adventure,en,Twentieth Century Fox Film Corporation,United States of America,2001,$100000000,$362211740.0
Anastasia,Animation-Family,en,Twentieth Century Fox Film Corporation,United States of America,1997,$53000000,$139804348.0
Baggage Claim,Comedy,en,Sneak Preview Productions,United States of America,2013,$8500000,$22456509.0
Bad Moms,Comedy,en,STX Entertainment,United States of America,2016,$20000000,$109387615.0
She's the One,Comedy-Romance,en,Fox Searchlight Pictures,United States of America,1996,$3500000,$9482579.0
The Gauntlet,Drama-Action-Crime-Thriller,en,Malpaso Productions,United States of America,1977,$5500000,$26414658.0
Man on a Ledge,Action-Thriller-Crime,en,Summit Entertainment,United States of America,2012,$42000000,$46221189.0
The Hoax,Comedy-Drama,en,Miramax Films,United States of America,2006,$25000000,$11772461.0
The Wind Rises,Animation,ja,Toho Company,Japan,2013,$30000000,$117932401.0
Kokowaah,Comedy,de,barefoot films,Germany,2011,$5650000,$43000000.0
Friday After Next,Comedy,en,New Line Cinema,United States of America,2002,$20000000,$33526835.0
Good Will Hunting,Drama,en,Miramax Films,Canada,1997,$10000000,$225933435.0
Unforgiven,Western,en,Malpaso Productions,United States of America,1992,$14000000,$159157447.0
Beautiful,Drama-Mystery-Thriller,en,Kojo Pictures,Australia,2009,$1500000,$56000.0
Up,Animation-Comedy-Family-Adventure,en,Pixar Animation Studios,United States of America,2009,$175000000,$735099082.0
Shaft,Action-Adventure-Crime-Thriller,en,Paramount Pictures,Germany,2000,$46000000,$107196498.0
The Little Prince,Adventure-Animation-Fantasy,en,Onyx Films,France,2015,$64000000,$97571250.0
Tracers,Action-Crime-Drama,en,Temple Hill Entertainment,United States of America,2015,$11000000,$593683.0
Bullitt,Action-Crime-Drama-Thriller,en,Solar Productions,United States of America,1968,$5500000,$42300873.0
Playing God,Drama-Action-Thriller-Crime,en,Touchstone Pictures,United States of America,1997,$12000000,$4000000.0
Johnny English,Adventure-Action-Comedy,en,Universal Pictures,France,2003,$40000000,$160583018.0
Polis EVO,,en,Tayangan Unggul Sdn Bhd,Malaysia,2015,$554390,$1847967.0
Slow Burn,Mystery-Crime-Drama-Thriller,en,Sidney Kimmel Entertainment,United States of America,2005,$15500000,$1237615.0
I Love Trouble,Action-Comedy-Romance,en,Caravan Pictures,United States of America,1994,$45000000,$61947267.0
Women in Trouble,Comedy-Drama,en,Gato Negro Films,United States of America,2009,$3000000,$18097.0
Unnai Kodu Ennai Tharuven,Crime-Romance,en,Super Good Films,India,2000,$500000,$500000.0
Barbershop,Comedy-Drama,en,Metro-Goldwyn-Mayer (MGM),United States of America,2002,$12000000,$75781642.0
Valkyrie,Drama-Thriller-History-War,en,United Artists,Germany,2008,$75000000,$200276000.0
Indecent Proposal,Drama,en,Paramount Pictures,United States of America,1993,$38000000,$266614059.0
Seraphim Falls,Western-Drama,en,Icon Productions,United States of America,2006,$18000000,$1196307.0
Conspiracy Theory,Action-Drama-Mystery-Thriller,en,Silver Pictures,United States of America,1997,$75000000,$136982834.0
A Walk in the Clouds,Drama-Romance,en,Twentieth Century Fox Film Corporation,United States of America,1995,$20000000,$50012507.0
The Dictator,Comedy,en,Paramount Pictures,United States of America,2012,$65000000,$179379533.0
Tomcats,Comedy-Romance,en,Columbia Pictures,United States of America,2001,$11000000,$23430766.0
Jack Reacher,Crime-Drama-Thriller,en,Paramount Pictures,United States of America,2012,$60000000,$218340595.0
Legally Blonde 2- Red White & Blonde,Comedy,en,Type A Films,United States of America,2003,$45000000,$124914842.0
Fantastic 4- Rise of the Silver Surfer,Adventure-Fantasy-Action-Thriller,en,Ingenious Film Partners,Germany,2007,$130000000,$289047763.0
One Two Three,Comedy-Family,,The Mirisch Corporation,United States of America,1961,$3000000,$4000000.0
The Five of Us,,fr,Remstar Productions,Canada,2004,$2500000,$408000.0
The Danish Girl,Drama,en,Pretty Pictures,Germany,2015,$15000000,$64191523.0
Pocketful of Miracles,Comedy-Drama,en,Franton Production,United States of America,1961,$2900000,$5000000.0
Scream 3,Horror-Mystery,en,Konrad Pictures,United States of America,2000,$40000000,$161834276.0
Analyze That,Comedy-Crime,en,Village Roadshow Pictures,Australia,2002,$60000000,$55003135.0
Stay,Mystery-Thriller-Drama,en,Regency Enterprises,United States of America,2005,$50000000,$8342132.0
The Fountain,Drama-Adventure-Science Fiction-Romance,en,Regency Enterprises,United States of America,2006,$35000000,$15304890.0
The In Crowd,Thriller,en,Morgan Creek Productions,United States of America,2000,$15000000,$5217498.0
Robin Hood,Animation-Family,en,Walt Disney Productions,United States of America,1973,$15000000,$32056467.0
Daredevil,Fantasy-Action-Crime-Science Fiction-Thriller,en,Twentieth Century Fox Film Corporation,United States of America,2003,$78000000,$179179718.0
Drive,Drama-Action-Thriller-Crime,en,Bold Films,United States of America,2011,$15000000,$78054825.0
Stir of Echoes,Horror-Mystery-Thriller,en,Artisan Entertainment,United States of America,1999,$12000000,$21133087.0
Harry Potter and the Order of the Phoenix,Adventure-Fantasy-Family-Mystery,en,Warner Bros.,United Kingdom,2007,$150000000,$938212738.0
Donnie Brasco,Crime-Drama-Thriller,en,TriStar Pictures,United States of America,1997,$35000000,$41954997.0
The Extraordinary Adventures of Adele Blanc-Sec,Fantasy-Adventure-Action-Mystery,fr,TF1 Films Productions,France,2010,$25000000,$34100000.0
Runaway Jury,Drama-Thriller,en,Regency Enterprises,United States of America,2003,$60000000,$80154140.0
A Dangerous Method,Drama-Thriller,en,Recorded Pictures Company,Switzerland,2011,$15000000,$27462041.0
Face-Off,Action-Crime-Science Fiction-Thriller,en,Paramount Pictures,United States of America,1997,$80000000,$245676146.0
Delicatessen,Comedy-Science Fiction-Fantasy,fr,Hachette Premiere,France,1991,$4000000,$13760640.0
2046,Fantasy-Drama-Science Fiction-Romance,zh,Paradis Films,Germany,2004,$12000000,$19271312.0
Leatherheads,Comedy-Romance-Drama,en,Universal Pictures,Germany,2008,$58000000,$41299492.0
ATM,Horror-Thriller,en,Buffalo Gal Pictures,Canada,2012,$3000000,$3010.0
Flipped,Romance-Drama,en,Reiner - Greisman Productions,United States of America,2010,$14000000,$1755212.0
Bad Company,Action-Adventure-Comedy-Thriller,en,Jerry Bruckheimer Films,United States of America,2002,$70000000,$65977295.0
Mummy & Me,Drama-Family,ml,Jithin Arts,India,2010,$225000,$750000.0
Smashed,Drama,en,Super Crispy Entertainment,United States of America,2012,$500000,$376597.0
Troll,Fantasy-Horror,en,Empire Pictures,Italy,1986,$1100000,$5450815.0
Enemy Mine,Drama-Science Fiction,en,Twentieth Century Fox Film Corporation,United States of America,1985,$40000000,$12303411.0
The World Is Not Enough,Adventure-Action-Thriller,en,Eon Productions,United Kingdom,1999,$135000000,$361832400.0
Grand Hotel,Drama-Romance,en,Metro-Goldwyn-Mayer (MGM),United States of America,1932,$700000,$2594000.0
Selam- Bahara Yolculuk,Drama,tr,Panoramik Film,Turkey,2015,$500000,$500001.0
Dante's Peak,Action-Adventure-Thriller,en,Universal Pictures,United States of America,1997,$116000000,$178127760.0
Good bye Lenin,Comedy-Drama-Romance,de,WDR,Germany,2003,$4800000,$79384880.0
The Bank Job,Thriller-Crime-Drama,en,Atlas Entertainment,Australia,2008,$20000000,$64822796.0
Two Brothers,Adventure-Drama-Family,en,Pathe Renn Productions,France,2004,$74500000,$62172050.0
Juno,Comedy-Drama-Romance,,Fox Searchlight Pictures,United States of America,2007,$7500000,$231411584.0
Sherlock Holmes- A Game of Shadows,Adventure-Action-Crime-Mystery,en,Village Roadshow Pictures,United States of America,2011,$125000000,$334615000.0
Looney Tunes- Back in Action,Animation-Comedy-Family,en,Lonely Film Productions GmbH & Co. KG.,Germany,2003,$80000000,$68514844.0
Keeping Mum,Comedy,en,Summit Entertainment,United Kingdom,2005,$169000,$18564702.0
The Derby Stallion,Drama-Family,en,none,United States of America,2005,$750000,$4000000.0
FC Venus,Comedy-Romance,fi,Talent House,Finland,2005,$2196531,$2411594.0
Infinitely Polar Bear,Comedy-Drama,en,Paper Street Films,United States of America,2014,$6700000,$1430655.0
Chaos,Drama-Action-Crime,en,Current Entertainment,Canada,2005,$12000000,$10289.0
2010,Thriller-Science Fiction,en,Metro-Goldwyn-Mayer (MGM),United States of America,1984,$28000000,$40400657.0
Those Magnificent Men in Their Flying Machines or How I Flew from London to Paris in 25 hours 11 minutes,Action-Adventure-Comedy,en,Twentieth Century-Fox Productions,United Kingdom,1965,$5600000,$29950000.0
Taxi Driver,Crime-Drama,en,Columbia Pictures Corporation,United States of America,1976,$1300000,$28262574.0
Zero Effect,Comedy-Crime-Mystery-Thriller,en,Castle Rock Entertainment,United States of America,1998,$5000000,$1980338.0
The Extra Man,Comedy,en,Wild Bunch,France,2010,$7000000,$453079.0
The Invisible,Crime-Drama-Fantasy-Mystery-Thriller,en,Spyglass Entertainment,Canada,2007,$30000000,$26810113.0
My Left Foot- The Story of Christy Brown,Drama,en,Ferndale Films,Ireland,1989,$645180,$14743391.0
When a Stranger Calls,Horror-Thriller,en,Davis Entertainment,United States of America,2006,$15000000,$66966987.0
Run Lola Run,Action-Drama-Thriller,de,X-Filme Creative Pool,Germany,1998,$1530000,$7267585.0
The Bling Ring,Drama-Crime,en,Pathe Distribution,United States of America,2013,$15000000,$19145732.0
Ghostbusters II,Comedy-Fantasy,en,Columbia Pictures Corporation,United States of America,1989,$37000000,$215394738.0
Spacehunter- Adventures in the Forbidden Zone,Adventure-Science Fiction,en,Columbia Pictures Corporation,United States of America,1983,$15000000,$16500000.0
Licence to Kill,Adventure-Action-Thriller,en,Eon Productions,United Kingdom,1989,$32000000,$156167015.0
Parker,Action-Crime,,SND,United States of America,2013,$35000000,$46216641.0
Insidious,Horror-Thriller,en,Alliance Films,United States of America,2010,$1500000,$97009150.0
Yours Mine & Ours,Comedy-Family-Romance,en,Paramount Pictures,United States of America,2005,$45000000,$72028752.0
Black Snake Moan,Drama,en,Paramount Classics,United States of America,2006,$15000000,$10903846.0
Big Bully,Comedy-Family,en,Warner Bros.,United States of America,1996,$15000000,$2042530.0
The BFG,Adventure-Family-Fantasy,en,Walt Disney Pictures,India,2016,$140000000,$183345589.0
Saw,Horror-Mystery-Crime,en,Lions Gate Films,United States of America,2004,$1200000,$103911669.0
Clerks II,Comedy,en,The Weinstein Company,United States of America,2006,$5000000,$26888376.0
Catch Me If You Can,Drama-Crime,en,Kemp Company,United States of America,2002,$52000000,$352114312.0
The Lone Ranger,Action-Adventure-Western,en,Walt Disney Pictures,United States of America,2013,$255000000,$89289910.0
The Iron Lady,History-Drama,en,UK Film Council,France,2011,$13000000,$114956699.0
Marty,Drama-Romance,en,United Artists,United States of America,1955,$343000,$3000000.0
The House Bunny,Romance-Comedy,en,Columbia Pictures,United States of America,2008,$25000000,$70442940.0
The Twilight Saga- Breaking Dawn - Part 1,Adventure-Fantasy-Romance,en,Summit Entertainment,United States of America,2011,$110000000,$712171856.0
The Last Exorcism Part II,Horror-Thriller,en,StudioCanal,United States of America,2013,$5000000,$15179302.0
