Titulo,Genero,original_language,Productora,Pais de produccion,Lanzamiento,Presupuesto,Ganancias
Freedom Writers,Crime-Drama,en,Double Feature Films,Germany,2007,$21000000,$41170784.0
Bicycle Thieves,Drama,it,Produzioni De Sica,Italy,1948,$133000,$361712.0
The Wedding Singer,Romance-Comedy,en,New Line Cinema,United States of America,1998,$18000000,$123306987.0
Closer,Drama-Romance,en,Columbia Pictures,United States of America,2004,$27000000,$115505027.0
Puss in Boots,Action-Adventure-Animation-Family-Fantasy,en,DreamWorks,United States of America,2011,$130000000,$554987477.0
The Unholy Three,Crime-Drama-Romance,en,Metro-Goldwyn-Mayer (MGM),United States of America,1925,$103000,$704000.0
Snitch,Thriller-Drama,en,Front Street Productions,United States of America,2013,$35000000,$42930462.0
Gracie,Drama,en,Elevation Filmworks,United States of America,2007,$9000000,$2955039.0
The Joy Luck Club,Drama,en,Hollywood Pictures,United States of America,1993,$11000000,$32861136.0
West of Zanzibar,Drama-Mystery,en,,United States of America,1928,$259000,$921000.0
Shrek Forever After,Comedy-Adventure-Fantasy-Animation-Family,en,DreamWorks Animation,United States of America,2010,$165000000,$752600867.0
Tristan & Isolde,Drama,en,Twentieth Century Fox Film Corporation,Czech Republic,2006,$31000000,$28000000.0
Leap Year,Romance-Comedy,en,Universal Pictures,Ireland,2010,$19000000,$29922472.0
Bliss,Comedy-Drama-Romance,en,none,Australia,1985,$3400000,$660537.0
Heat,Action-Crime-Drama-Thriller,en,Regency Enterprises,United States of America,1995,$60000000,$187436818.0
Evita,History-Drama-Music,en,Hollywood Pictures,United States of America,1996,$55000000,$141047179.0
Sisters,Comedy,en,Little Stranger,United States of America,2015,$30000000,$105011053.0
Spartacus,Action-Drama-History,en,Bryna Productions,United States of America,1960,$12000000,$60000000.0
Glory,War,en,TriStar Pictures,United States of America,1989,$18000000,$26828365.0
Exodus- Gods and Kings,Adventure-Drama-Action,en,Scott Free Productions,Spain,2014,$140000000,$268031828.0
Cookie's Fortune,Comedy-Drama-Thriller,en,October Films,United States of America,1999,$10000000,$10920544.0
Last Flight,Action-Thriller,en,Ci Wen Media,China,2014,$10000000,$5900000.0
The Manchurian Candidate,Drama-Thriller-Mystery,en,Paramount Pictures,United States of America,2004,$80000000,$96105964.0
Star Wars- The Force Awakens,Action-Adventure-Science Fiction-Fantasy,en,Lucasfilm,United States of America,2015,$245000000,$2068223624.0
Death at a Funeral,Comedy,en,Parabolic Pictures,United States of America,2010,$21000000,$49050886.0
The Unborn,Horror-Thriller-Mystery,en,Rogue Pictures,United States of America,2009,$16000000,$76514050.0
Death Note,Fantasy-Mystery-Thriller,ja,Warner Bros.,Japan,2006,$20000000,$27793200.0
Sinbad- Legend of the Seven Seas,Family-Animation-Adventure,en,DreamWorks Animation,United States of America,2003,$60000000,$26288320.0
Out of the Furnace,Thriller-Drama-Crime,en,Appian Way,United States of America,2013,$22000000,$15400000.0
Mystery Men,Adventure-Fantasy-Action-Comedy-Science Fiction,en,Universal Pictures,United States of America,1999,$68000000,$29762011.0
Daddy's Home,Comedy,en,Paramount Pictures,United States of America,2015,$50000000,$242786137.0
Man of Tai Chi,Action-Drama,en,Universal Pictures,China,2013,$25000000,$2054941.0
The Box,Thriller-Science Fiction,en,Media Rights Capital,United States of America,2009,$30000000,$33333531.0
Capone,Crime-Drama,en,,United States of America,1975,$970000,$2000000.0
The SpongeBob SquarePants Movie,Animation-Comedy-Family,en,Paramount Pictures,United States of America,2004,$30000000,$140161792.0
Angadi Theru,Drama-Romance,ta,Ayngaran International,India,2010,$600000,$2000000.0
The Flowers of War,Drama-History-War,zh,Beijing New Picture Film Co. Ltd.,China,2011,$94000000,$95311434.0
Grandmaster,Mystery-Thriller,ml,UTV Motion Pictures,India,2012,$120000,$130000.0
Agora,Adventure-Drama-History,en,Himenoptero,Spain,2009,$70000000,$39041505.0
Friends with Money,Comedy-Drama-Romance,en,Sony Pictures,United States of America,2006,$6500000,$13368437.0
Brewster's Millions,Comedy,en,Universal Pictures,United States of America,1985,$20000000,$45833132.0
Anchorman 2- The Legend Continues,Comedy,en,Paramount Pictures,United States of America,2013,$50000000,$173649015.0
Jayne Middlemiss- Love Yoga,Documentary,en,Momentum Pictures,United Kingdom,2005,$20000,$20000.0
Ola Bola,Drama,ms,Astro Shaw,Malaysia,2016,$1230920,$3569670.0
The Giver,Drama-Science Fiction,en,The Weinstein Company,United States of America,2014,$25000000,$66980456.0
Sky Captain and the World of Tomorrow,Mystery-Action-Thriller-Science Fiction-Adventure,en,Paramount Pictures,United Kingdom,2004,$70000000,$57958696.0
Zero Dark Thirty,Thriller-Drama-History,en,Columbia Pictures,United States of America,2012,$40000000,$132820716.0
Predators,Action-Science Fiction-Adventure-Thriller,en,Twentieth Century Fox Film Corporation,United States of America,2010,$40000000,$126248813.0
Young Adam,Drama-Thriller-Crime-Romance,en,Recorded Picture Company (RPC),France,2003,$6400000,$2500000.0
Murderball,Documentary,en,Thinkfilm,United States of America,2005,$300000,$1750211.0
The Danish Girl,Drama,en,Pretty Pictures,Germany,2015,$15000000,$64191523.0
Nothing but Trouble,Comedy-Adventure,en,Warner Bros.,United States of America,1991,$40000000,$8479793.0
Drishyam,Crime-Thriller,ml,Aashirvad Cinemas,India,2013,$524745,$11299854.0
City of Ember,Adventure-Family-Fantasy,en,Playtone,United States of America,2008,$55000000,$17869048.0
Something Wicked This Way Comes,Fantasy-Mystery-Thriller,en,Walt Disney Pictures,United States of America,1983,$19000000,$5656087.0
The Godfather- Part III,Crime-Drama-Thriller,en,Paramount Pictures,Italy,1990,$54000000,$136766062.0
Sunset,Action-Comedy-Crime-Mystery-Thriller,en,Cecchi Gori Group Tiger Cinematografica,Italy,1988,$16000000,$4594452.0
Superman The Movie Restored International Cut,Action-Adventure-Drama-Family-Romance-Science Fiction,en,International Film Productions,United Kingdom,1978,$55000000,$134218018.0
Alice in Wonderland,Family-Fantasy-Adventure,en,Walt Disney Pictures,United States of America,2010,$200000000,$1025491110.0
As Above So Below,Horror-Thriller,en,Legendary Pictures,United States of America,2014,$5000000,$40100000.0
The Best Exotic Marigold Hotel,Drama-Comedy,en,Participant Media,United Arab Emirates,2011,$10000000,$136836156.0
Dragon Blade,Action-Drama-Adventure,zh,Shanghai Film Group,Hong Kong,2015,$65000000,$121545703.0
xXx- Return of Xander Cage,Action-Adventure-Crime,en,Paramount Pictures,United States of America,2017,$85000000,$346302504.0
Alles fur Liebe,,de,Yaguara Pictures [ve],Germany,2013,$8500,$11000.0
Clerks,Comedy,en,Miramax Films,United States of America,1994,$27000,$3151130.0
Smart People,Comedy-Drama-Romance,en,,United States of America,2008,$7000000,$10569964.0
Triple 9,Thriller,en,Worldview Entertainment,United States of America,2016,$20000000,$12639297.0
The Caine Mutiny,Drama-War,en,Stanley Kramer Productions,United States of America,1954,$2000000,$21750000.0
The Lure,Horror-Music,pl,Wytwornia Filmow Dokumentalnych i Fabularnych (WFDiF),Poland,2015,$1300000,$101657.0
From Dusk Till Dawn,Horror-Action-Thriller-Crime,en,A Band Apart,United States of America,1996,$19000000,$25836616.0
Godfather,Drama-Comedy-Romance,ml,Swargachitra,India,1991,$18000,$700000.0
Outside Providence,Romance-Comedy-Drama,en,Miramax Films,United States of America,1999,$7000000,$7292175.0
I Think I Love My Wife,Comedy-Romance,en,Fox Searchlight Pictures,India,2007,$11000000,$13196245.0
World War Z,Action-Drama-Horror-Science Fiction-Thriller,en,Paramount Pictures,United States of America,2013,$200000000,$531865000.0
The Hobbit- The Desolation of Smaug,Adventure-Fantasy,en,WingNut Films,New Zealand,2013,$250000000,$958400000.0
Tomorrowland,Adventure-Family-Mystery-Science Fiction,en,Walt Disney Pictures,United States of America,2015,$190000000,$209154322.0
The Second Best Exotic Marigold Hotel,Drama-Comedy,en,Fox Searchlight Pictures,United Kingdom,2015,$10000000,$85978266.0
Soul Plane,Romance-Comedy,en,Metro-Goldwyn-Mayer (MGM),United States of America,2004,$16000000,$14822346.0
Police Story 3- Supercop,Action-Crime-Thriller,cn,Golden Harvest Company,Hong Kong,1992,$900000,$20483423.0
The Samaritan,Thriller,en,Quickfire Films,Canada,2012,$12000000,$2521.0
The Place Beyond the Pines,Drama-Crime,en,Sidney Kimmel Entertainment,United States of America,2013,$15000000,$35485608.0
Frenzy,Crime-Drama-Mystery-Thriller,en,Universal Pictures,United Kingdom,1972,$3500000,$12600000.0
Under Siege,Action-Thriller,en,Regency Enterprises,France,1992,$35000000,$156563139.0
Honky Tonk Freeway,Action-Comedy,en,none,United States of America,1981,$24000000,$939423.0
King Arthur,Adventure-War-History,en,Jerry Bruckheimer Films,Ireland,2004,$120000000,$203567857.0
The Jackal,Action-Thriller-Adventure-Crime,en,Universal Pictures,United States of America,1997,$60000000,$159330280.0
Attack the Block,Action-Comedy-Science Fiction,en,UK Film Council,United Kingdom,2011,$14350531,$3964682.0
A Good Day to Die Hard,Action-Thriller,en,Ingenious Media,United States of America,2013,$92000000,$304654182.0
Iron Sky,Action-Comedy-Science Fiction,en,Blind Spot Pictures Oy,Finland,2012,$7500000,$8135031.0
Mike and Dave Need Wedding Dates,Comedy,en,Twentieth Century Fox Film Corporation,United States of America,2016,$33000000,$77068246.0
In the Heat of the Night,Crime-Drama-Mystery-Thriller,en,United Artists,United States of America,1967,$2000000,$27379978.0
This is Sodom,Comedy-History,he,United King Films,Israel,2010,$2745000,$5850000.0
The Purge,Science Fiction-Horror-Thriller,en,Universal Pictures,France,2013,$3000000,$89328627.0
Dogville,Crime-Drama-Thriller,da,Zentropa Entertainments,Denmark,2003,$10000000,$16680836.0
Kick-Ass 2,Action-Adventure-Crime,en,Universal Pictures,United States of America,2013,$28000000,$60700000.0
Big Momma's House,Crime-Comedy,en,Twentieth Century Fox Film Corporation,Germany,2000,$30000000,$173959438.0
Hotel Transylvania,Animation-Comedy-Family-Fantasy,en,Columbia Pictures,United States of America,2012,$85000000,$358375603.0
Fanaa,Action-Drama-Romance-Thriller,hi,Yash Raj Films,India,2006,$5300000,$22175908.0
A Patch of Blue,Drama-Romance,en,Metro-Goldwyn-Mayer (MGM),United States of America,1965,$800000,$6792000.0
Pokemon- The First Movie- Mewtwo Strikes Back,Animation,ja,,Japan,1998,$30000000,$163644662.0
Skinning,Action-Crime-Drama,sr,Hypnopolis,Serbia and Montenegro,2010,$500000,$198.0
Jason X,Horror-Science Fiction,en,New Line Cinema,United States of America,2001,$11000000,$16000000.0
Steel,Science Fiction-Action-Adventure,en,Quincy Jones-David Salzman Entertainment,United States of America,1997,$16000000,$1686429.0
Boys and Girls,Comedy-Drama-Romance,en,Punch 21 Productions,United States of America,2000,$16000000,$20627372.0
The Chronicles of Narnia- The Voyage of the Dawn Treader,Adventure-Family-Fantasy,en,Dune Entertainment,United States of America,2010,$155000000,$415686217.0
The Last Airbender,Action-Adventure-Family-Fantasy,en,Paramount Pictures,United States of America,2010,$150000000,$318502923.0
Legend of the Lost,Adventure-Drama,en,United Artists,Italy,1957,$1750000,$2200000.0
A Few Good Men,Drama,en,David Brown Productions,United States of America,1992,$40000000,$243240178.0
Cheaper by the Dozen 2,Comedy,en,Twentieth Century Fox Film Corporation,United States of America,2005,$60000000,$129181830.0
A Guy Thing,Comedy-Romance,en,Metro-Goldwyn-Mayer (MGM),United States of America,2003,$20000000,$17432163.0
Sid & Nancy,Drama-Music-Romance,en,Zenith Entertainment,United Kingdom,1986,$4000000,$2826523.0
Princess Kaiulani,Drama,en,Island Film Group,United States of America,2010,$9000000,$771499.0
Tangled,Animation-Family,en,Walt Disney Pictures,United States of America,2010,$260000000,$591794936.0
The Last Witch Hunter,Fantasy-Action-Adventure,en,Summit Entertainment,United States of America,2015,$90000000,$146936910.0
Beginners,Drama-Romance-Comedy,en,Parts and Labor,United States of America,2010,$3200000,$5332926.0
Underworld,Fantasy-Action-Thriller,en,Lakeshore Entertainment,Germany,2003,$22000000,$95708457.0
Flubber,Comedy-Family-Science Fiction,en,Walt Disney Pictures,United States of America,1997,$80000000,$177977226.0
Princess Mononoke,Adventure-Fantasy-Animation,ja,Miramax Films,Japan,1997,$26500000,$159375308.0
City Island,Drama-Comedy,en,Lucky Monkey Pictures,United States of America,2009,$6000000,$6670712.0
DodgeBall- A True Underdog Story,Comedy,en,Twentieth Century Fox Film Corporation,Germany,2004,$20000000,$167722310.0
Dream House,Drama-Thriller-Mystery,en,Cliffjack Motion Pictures,United States of America,2011,$50000000,$38502340.0
The Hand that Rocks the Cradle,Thriller,en,Hollywood Pictures,United States of America,1992,$11700000,$88036683.0
Det' jo løgn,Comedy,da,none,Denmark,2010,$10000,$100000.0
James and the Giant Peach,Adventure-Animation-Family,en,Walt Disney Pictures,United States of America,1996,$38000000,$28921264.0
The Order,Drama-Fantasy-Horror-Mystery-Romance-Thriller,en,Twentieth Century Fox Film Corporation,Germany,2003,$35000000,$11560806.0
Elegy,Drama-Romance,en,Lakeshore Entertainment,United States of America,2008,$13000000,$14894347.0
Jackson County Jail,Crime-Drama,en,New World Pictures,United States of America,1976,$445000,$2300000.0
Happy Days,Drama,te,Amigos Creations,India,2007,$440141,$2640850.0
The Past,Drama-Mystery,fr,Memento Films Production,Italy,2013,$11000000,$10631747.0
Best Defense,Action-Comedy,en,,United States of America,1984,$18000000,$19265302.0
All the King's Men,Drama-Thriller,en,Columbia Pictures Corporation,United States of America,2006,$55000000,$9450897.0
Tammy,Comedy,en,New Line Cinema,United States of America,2014,$20000000,$100525432.0
The Squid and the Whale,Comedy-Drama,en,Destination Films,United States of America,2005,$1500000,$11098131.0
Kingdom of Heaven,Drama-Action-Adventure-History-War,en,Studio Babelsberg,Germany,2005,$130000000,$211643158.0
Lucy,Action-Science Fiction,en,Universal Pictures,France,2014,$40000000,$126546825.0
My Big Fat Greek Wedding,Comedy-Drama-Romance,en,MPH Entertainment,Canada,2002,$5000000,$368744044.0
Hot Tub Time Machine 2,Comedy,en,Paramount Pictures,United States of America,2015,$14000000,$12314651.0
Martin Lawrence Live- Runteldat,Comedy,en,none,United States of America,2002,$3000000,$19184015.0
Bak Yesil Yesil,Comedy,tr,Arzu Film,Turkey,1975,$35000,$124000.0
Vibes,Romance-Action-Comedy,en,Imagine Entertainment,Ecuador,1988,$1884000,$1883811.0
Our Idiot Brother,Comedy-Drama,en,The Weinstein Company,United States of America,2011,$10000000,$17273593.0
The Edge of Heaven,Drama,de,Filmstiftung Nordrhein-Westfalen,Germany,2007,$3800000,$17804565.0
An Awfully Big Adventure,Romance-Drama-Comedy,en,Fine Line Features,United Kingdom,1995,$4000000,$851545.0
The Tempest,Drama-Fantasy,en,Miramax Films,United States of America,2010,$20000000,$346594.0
Perfume- The Story of a Murderer,Crime-Fantasy-Drama,en,Davis-Films,Spain,2006,$50000000,$132180323.0
Life As We Know It,Comedy-Romance-Drama,en,Josephson Entertainment,United States of America,2010,$38000000,$105610124.0
Focus,Romance-Comedy-Crime-Drama,en,Kramer & Sigman Films,United States of America,2015,$50100000,$153962963.0
Raiders of the Lost Ark,Adventure-Action,en,Lucasfilm,United States of America,1981,$18000000,$389925971.0
Evan Almighty,Fantasy-Comedy-Family,en,Columbia Pictures,United States of America,2007,$175000000,$173000000.0
Burn,Foreign-Documentary,en,Apostle Productions,United States of America,2012,$225000,$111300.0
The Imitation Game,History-Drama-Thriller-War,en,Black Bear Pictures,United Kingdom,2014,$14000000,$233555708.0
Wolf Totem,Adventure-Drama,zh,Edko Films,France,2015,$38000000,$123205624.0
Last Vegas,Comedy,en,Laurence Mark Productions,United States of America,2013,$28000000,$134402450.0
Aanai,Action-Drama-Foreign-Thriller,en,none,India,2005,$500000,$500000.0
Chariots of Fire,Drama-History,en,Twentieth Century Fox Film Corporation,United Kingdom,1981,$5500000,$58972904.0
Armed Response,Action-Thriller,en,Cinetel Films,United States of America,1986,$1500000,$1300000.0
2046,Fantasy-Drama-Science Fiction-Romance,zh,Paradis Films,Germany,2004,$12000000,$19271312.0
Nanny McPhee and the Big Bang,Comedy-Fantasy,en,Universal Pictures,United States of America,2010,$35000000,$93246388.0
Barbecue,Comedy,fr,TF1 Films Production,France,2014,$6000000,$14348529.0
Parasite,Horror-Science Fiction,en,none,United States of America,1982,$800000,$7000000.0
If I Stay,Drama,en,New Line Cinema,United States of America,2014,$11000000,$78874843.0
Silent House,Horror-Mystery,en,Elle Driver,France,2011,$2000000,$13101672.0
She Wore a Yellow Ribbon,Western,en,RKO Radio Pictures,United States of America,1949,$1600000,$5400000.0
PEEPLI [Live],Drama-Comedy,hi,none,India,2010,$2270000,$6900000.0
Havana,Drama-Romance,en,Universal Pictures,United States of America,1990,$40000000,$9243140.0
Inglourious Basterds,Drama-Action-Thriller-War,en,Universal Pictures,Germany,2009,$70000000,$319131050.0
I'm No Angel,Comedy-Romance,en,Paramount Pictures,United States of America,1933,$225000,$2850000.0
Silent Night Deadly Night II,Comedy-Horror,en,Silent Night Releasing Corporation,United States of America,1987,$250000,$154323.0
Mean Girls,Comedy,en,Paramount Pictures,United States of America,2004,$17000000,$129042871.0
The Beaver,Drama,en,Summit Entertainment,United Arab Emirates,2011,$21000000,$970816.0
The Ghost and the Darkness,Adventure,en,Constellation Films,Germany,1996,$50000000,$75000000.0
The Tale of the Princess Kaguya,Animation-Drama-Fantasy,ja,Studio Ghibli,Japan,2013,$49300000,$24186232.0
City Heat,Action-Comedy-Crime,en,Warner Bros.,United States of America,1984,$25000000,$38348988.0
Out for Justice,Action-Thriller-Crime,en,Warner Bros.,United States of America,1991,$14000000,$39673161.0
Diary of the Dead,Horror-Action-Science Fiction,en,Artfire Films,United States of America,2007,$2000000,$5364858.0
Mudhalvan,Foreign-Thriller,ta,S Pictures,India,1999,$7400000,$22000000.0
I Saw the Light,Drama-Music,en,Bron Studios,United States of America,2016,$13000000,$1646788.0
Black Mass,Crime-Drama,en,Infinitum Nihil,United Kingdom,2015,$53000000,$98837872.0
The Watch,Comedy,en,Ingenious Film Partners,United States of America,2012,$68000000,$68267862.0
Peter-No-Tail,Romance-Family-Animation-Drama,sv,Sandrews,Sweden,1981,$48740,$955401.0
Apollo 18,Horror-Thriller-Science Fiction,en,Bazelevs Production,Canada,2011,$5000000,$25562924.0
The Proposition,Action-Adventure-Crime-Drama-Thriller-Western,en,Autonomous,Australia,2005,$2000000,$5048693.0
Inferno,Thriller,en,Columbia Pictures,Hungary,2016,$75000000,$220021259.0
Valley of the Dolls,Music-Drama-Romance,en,Red Lion,United States of America,1967,$5000000,$50000000.0
The Lord of the Rings,Fantasy-Drama-Animation-Adventure,en,United Artists,United States of America,1978,$4000000,$30471420.0
Madea's Big Happy Family,Comedy-Drama,en,Lions Gate Films,United States of America,2011,$25000000,$53213633.0
Red State,Horror-Action-Thriller,en,The Harvey Boys,United States of America,2011,$4000000,$1104682.0
The Guest,Mystery-Thriller-Action,en,HanWay Films,United States of America,2014,$5000000,$2367161.0
Lakeview Terrace,Drama-Crime-Thriller,en,Screen Gems,United States of America,2008,$20000000,$27640028.0
Meet The Browns,Comedy,en,Tyler Perry Studios,United States of America,2005,$500000,$1000000.0
War,Action-Thriller-Crime,en,Mosaic Media Group,United States of America,2007,$25000000,$40452643.0
Testament,Action-Drama-Science Fiction,en,Paramount Pictures,United States of America,1983,$1500000,$2044892.0
Cape Fear,Crime-Thriller,en,Universal Pictures,United States of America,1991,$35000000,$182300000.0
Stargate,Action-Adventure-Science Fiction,en,Centropolis Entertainment,France,1994,$55000000,$196567262.0
Life,Horror-Science Fiction-Thriller,en,Columbia Pictures,United States of America,2017,$58000000,$93811028.0
Blade II,Fantasy-Horror-Action-Thriller,en,,Germany,2002,$54000000,$155010032.0
The Art of War,Crime-Action-Adventure,en,Amen Ra Films,Canada,2000,$40000000,$30199105.0
October Moon,Drama-Horror-Thriller-Romance,en,none,United States of America,2005,$13000,$40000.0
1492- Conquest of Paradise,Action-Adventure-Drama-History,en,Paramount Pictures,Costa Rica,1992,$47000000,$7191399.0
The Opposite Sex,Comedy,en,Magna Global Entertainment,United States of America,2014,$3300000,$45000.0
In the Land of Blood and Honey,Drama-Romance-War,en,FilmDistrict,United States of America,2011,$10000000,$303877.0
Like a butterfly,Documentary,en,Salamandre films,Switzerland,2013,$70000,$90000.0
Sankofa,Drama,en,Channel Four Films,Burkina Faso,1993,$1000000,$2691899.0
Show Boat,Music-Romance,en,Metro-Goldwyn-Mayer (MGM),United States of America,1951,$2300000,$11000000.0
Max Steel,Action-Adventure-Science Fiction,en,Ingenious Media,United Kingdom,2016,$10000000,$6272403.0
License to Wed,Comedy,en,Village Roadshow Pictures,Australia,2007,$35000000,$69307224.0
Ali,Drama,en,Columbia Pictures Corporation,United States of America,2001,$107000000,$87713825.0
Space Dogs,Family-Animation,ru,CN Film,United States of America,2010,$25000000,$6500000.0
Halloween- H20,Horror-Thriller,en,Dimension Films,United States of America,1998,$17000000,$55041738.0
Babu Bangaram,Action-Comedy-Romance,te,Sitara Entertainments,India,2016,$4200000,$6900000.0
Arundhati,Horror-Fantasy-Thriller,te,none,India,2009,$2915739,$14000000.0
Misery,Drama-Thriller,en,Columbia Pictures,United States of America,1990,$20000000,$61276872.0
Never Let Me Go,Drama-Romance-Science Fiction,en,Fox Searchlight Pictures,United Kingdom,2010,$15000000,$9455232.0
Mechanic- Resurrection,Action-Crime-Thriller,en,Davis-Films,Thailand,2016,$40000000,$125729635.0
Short Stack Live at the Sydney Opera House,Documentary-Music,en,Sunday Morning Records,Australia,2011,$20000,$67000.0
